"id","categoria","nivel","tags","pregunta","opcion_a","opcion_b","opcion_c","opcion_d","respuesta_correcta","explicacion","cita_biblica"
"1","Personajes","principiante","josias-reinado","¿A qué edad comenzó a reinar Josías?","8 años","12 años","16 años","20 años","A","Josías tenía solo ocho años cuando comenzó a reinar en Jerusalén.","2 Crónicas 34:1"
"2","Personajes","principiante","josias-reinado","¿Cuántos años reinó Josías en Jerusalén?","25 años","31 años","40 años","18 años","B","Josías reinó en Jerusalén durante treinta y un años.","2 Crónicas 34:1"
"3","Personajes","principiante","josias-reinado","¿En qué ciudad reinó Josías?","Samaria","Belén","Jerusalén","Hebrón","C","Josías reinó en Jerusalén, la capital de Judá.","2 Crónicas 34:1"
"4","Doctrina básica","principiante","josias-fidelidad","¿Cómo describe la Biblia el comportamiento de Josías delante de Dios?","Hizo lo malo ante los ojos de Jehová","Hizo lo recto ante los ojos de Jehová","No le importaba Dios","Adoró a Baal","B","El texto dice que Josías hizo lo recto ante los ojos de Jehová.","2 Crónicas 34:2"
"5","Personajes","intermedio","josias-fidelidad","¿A quién siguió Josías en su manera de actuar?","A Salomón su padre","A David su padre","A Saúl","A su madre","B","Josías anduvo en los caminos de David su padre, sin apartarse a diestra ni a siniestra.","2 Crónicas 34:2"
"6","Números y datos curiosos","intermedio","josias-buscar-dios","¿En qué año de su reinado comenzó Josías a buscar al Dios de David su padre?","En el año octavo","En el año doce","En el año dieciocho","En el primer año","A","Siendo aún joven, en el octavo año de su reinado, comenzó a buscar al Dios de David su padre.","2 Crónicas 34:3"
"7","Números y datos curiosos","intermedio","josias-buscar-dios","¿Qué edad tenía Josías cuando comenzó a buscar a Dios?","8 años","12 años","16 años","20 años","C","El año octavo de su reinado corresponde a cuando Josías tenía dieciséis años.","2 Crónicas 34:3"
"8","Números y datos curiosos","intermedio","josias-reforma","¿En qué año de su reinado comenzó Josías a purificar Judá y Jerusalén de la idolatría?","En el año octavo","En el año doce","En el año dieciocho","En el año treinta","B","En el año doce de su reinado comenzó a limpiar a Judá y Jerusalén de los lugares altos.","2 Crónicas 34:3"
"9","Números y datos curiosos","avanzado","josias-reforma","¿Qué edad tenía Josías cuando comenzó la purga de la idolatría en Judá?","12 años","16 años","20 años","25 años","C","El año doce de su reinado corresponde a cuando Josías tenía veinte años.","2 Crónicas 34:3"
"10","Antiguo Testamento","intermedio","josias-reforma-idolos","¿Qué mandó destruir Josías primero en Judá y Jerusalén?","Los palacios reales","Los lugares altos, las imágenes de Asera y los ídolos","Las murallas de la ciudad","Los graneros","B","Comenzó a limpiar la tierra quitando los lugares altos, las imágenes de Asera, las esculturas y las imágenes fundidas.","2 Crónicas 34:3"
"11","Antiguo Testamento","principiante","josias-reforma-idolos","¿Qué hicieron con los altares de los baales en presencia de Josías?","Los repararon","Los destruyeron","Los vendieron","Los escondieron","B","Los altares de los baales fueron destruidos en presencia del rey.","2 Crónicas 34:4"
"12","Antiguo Testamento","intermedio","josias-reforma-idolos","¿Qué hizo Josías con los altares de incienso que estaban sobre los ídolos?","Los cortó","Los adornó","Los guardó en el templo","Los regaló a otros reyes","A","Josías hizo pedazos los altares de incienso que estaban sobre los ídolos.","2 Crónicas 34:4"
"13","Antiguo Testamento","avanzado","josias-reforma-idolos","¿Qué hizo Josías con las imágenes de Asera, las esculturas y las imágenes fundidas?","Las guardó en un museo","Las quebró e hizo polvo","Las envió a otro reino","Las fundió para hacer joyas","B","Quebró en pedazos las imágenes y las convirtió en polvo.","2 Crónicas 34:4"
"14","Números y datos curiosos","experto","josias-reforma-idolos","¿Dónde esparció Josías el polvo de los ídolos destruidos?","En el río Jordán","Sobre las tumbas de quienes les habían ofrecido sacrificio","En el desierto","En el patio del templo","B","El polvo de los ídolos fue esparcido sobre las tumbas de los que les habían ofrecido sacrificios.","2 Crónicas 34:4"
"15","Antiguo Testamento","avanzado","josias-reforma-idolos","¿Qué hizo Josías con los huesos de los sacerdotes idólatras?","Los enterró con honores","Los quemó sobre sus propios altares","Los guardó como reliquias","Los entregó a sus familias","B","Quemó los huesos de los sacerdotes idólatras sobre sus propios altares, purificando así a Judá y Jerusalén.","2 Crónicas 34:5"
