id,categoria,nivel,tags,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,cita_biblica
1,Personajes,principiante,fe-obediencia-salvacion,¿Quién construyó el arca por mandato de Dios?,Noé,Abraham,Moisés,Job,A,Dios instruyó a Noé para construir el arca y salvar a su familia y a los animales del diluvio.,Génesis 6:14
2,Antiguo Testamento,principiante,juicio-diluvio,¿Cuántos días y noches llovió durante el diluvio?,7,40,70,120,B,El texto bíblico indica que llovió sobre la tierra cuarenta días y cuarenta noches.,Génesis 7:12
3,Personajes,principiante,creacion,¿Quién fue el primer hombre creado por Dios?,Adán,Caín,Set,Noé,A,"Dios formó al hombre del polvo de la tierra y sopló en él aliento de vida, y fue llamado Adán.",Génesis 2:7
4,Profecías,principiante,nacimiento-profecia-mesias,¿En qué ciudad nació Jesús?,Nazaret,Jerusalén,Belén,Capernaum,C,"Jesús nació en Belén de Judea, cumpliendo la profecía del Antiguo Testamento.",Mateo 2:1; Lucas 2:4
5,Personajes,principiante,traicion,¿Quién traicionó a Jesús por treinta monedas de plata?,Pedro,Judas Iscariote,Tomás,Andrés,B,Judas Iscariote acordó con los principales sacerdotes entregar a Jesús por treinta piezas de plata.,Mateo 26:15
6,Nuevo Testamento,principiante,discipulado,¿Cuántos discípulos escogió Jesús como sus apóstoles?,10,12,7,70,B,"Jesús llamó a doce discípulos y les dio autoridad, conocidos como los doce apóstoles.",Mateo 10:1-4
7,Milagros,principiante,milagro-liberacion,¿Qué mar fue dividido para que Israel escapara de Egipto?,El Mar Muerto,El Mar Rojo,El Mar de Galilea,El Mediterráneo,B,"Dios abrió las aguas del Mar Rojo para que Israel pasara en seco, huyendo del ejército egipcio.",Éxodo 14:21-22
8,Antiguo Testamento,principiante,provision,¿Qué alimento envió Dios del cielo para los israelitas en el desierto?,Codornices solamente,Maná,Pan de trigo,Miel,B,"Cada mañana caía del cielo un alimento parecido a escarcha llamado maná, que sostuvo a Israel en el desierto.",Éxodo 16:14-15
9,Personajes,principiante,fe-valentia,¿Quién venció al gigante filisteo Goliat?,Saúl,Jonatán,David,Samuel,C,"El joven David enfrentó y venció a Goliat con una honda y una piedra, confiando en el nombre de Jehová.",1 Samuel 17:49-50
10,Doctrina básica,principiante,canon,¿Cuál es el primer libro de la Biblia?,Éxodo,Génesis,Levítico,Job,B,Génesis es el primer libro del canon bíblico y relata la creación y los orígenes del pueblo de Dios.,Génesis 1:1
11,Personajes,principiante,obediencia-misericordia,¿Quién fue tragado por un gran pez tras huir del llamado de Dios?,Jonás,Elías,Eliseo,Daniel,A,Jonás huyó de la misión de predicar en Nínive y Dios dispuso un gran pez que lo tragó por tres días.,Jonás 1:17
12,Geografía,principiante,ley,¿En qué monte recibió Moisés los Diez Mandamientos?,Monte Carmelo,Monte Sinaí,Monte Nebo,Monte Tabor,B,Dios llamó a Moisés al monte Sinaí y le entregó las tablas de la ley escritas por su dedo.,Éxodo 19:20; 31:18
13,Doctrina básica,principiante,fe-pacto,¿A quién se le conoce como el padre de la fe?,Isaac,Jacob,Abraham,Moisés,C,Abraham creyó a Dios y por su fe es presentado como padre de todos los que creen.,Romanos 4:16
14,Nuevo Testamento,principiante,tentacion,¿Cuántos días ayunó Jesús en el desierto antes de ser tentado?,7 días,40 días,3 días,12 días,B,Jesús ayunó cuarenta días y cuarenta noches antes de ser tentado por el diablo en el desierto.,Mateo 4:2
15,Personajes,principiante,debilidad-restauracion,¿Quién negó conocer a Jesús tres veces la noche de su arresto?,Juan,Pedro,Santiago,Felipe,B,"Tal como Jesús lo había predicho, Pedro negó conocerlo tres veces antes de que cantara el gallo.","Mateo 26:34,75"
16,Profecías,intermedio,profecia-persecucion,¿Qué rey ordenó matar a los niños varones de Belén tras el nacimiento de Jesús?,Herodes,Poncio Pilato,Augusto César,Herodes Antipas,A,"Al sentirse burlado por los magos, Herodes mandó matar a todos los niños de Belén de dos años para abajo.",Mateo 2:16
